""
"14,076", "25", "7%", "48 : 52", ""
"11,221", "28.6", "24%", "54 : 46", ""
"11,452", "29.6", "27%", "59 : 41", ""
"51,438", "13", "15%", "62 : 38", ""
"13,015", "17.4", "17%", "45 : 55", ""
"22,795", "19", "11%", "55 : 45", ""
"30,333", "17.1", "38%", "53 : 47", ""
"2,631", "15.2", "6%", "57 : 43", ""
"8,546", "22.9", "17%", "51 : 49", ""
"1,304", "6.7", "9%", "31 : 69", ""
"17,625", "14.4", "6%", "100 : 0", ""
"11,718", "34", "2%", "24 : 76", ""
"18,882", "30.2", "7%", "56 : 44", ""
"54,290", "17.2", "7%", "59 : 41", ""
"32,566", "25.9", "7%", "56 : 44", ""
"37,373", "29.5", "9%", "56 : 44", ""
"28,534", "20.4", "5%", "59 : 41", ""
"20,584", "26.8", "12%", "65 : 35", ""
"10,931", "24", "6%", "55 : 45", ""
"8,773", "17.8", "43%", "41 : 59", ""
"14,823", "8", "3%", "54 : 46", ""
"18,162", "8.2", "9%", "29 : 71", ""
"57,242", "17.7", "4%", "34 : 66", ""
"8,371", "17.3", "1%", "18 : 82", ""
"6,167", "12.2", "0%", "13 : 87", ""
"8,234", "15.9", "1%", "19 : 81", ""
"19,646", "29.1", "10%", "48 : 52", ""
"9,703", "15.2", "5%", "62 : 38", ""
"23,321", "12.2", "6%", "69 : 31", ""
"8,397", "15.7", "20%", "55 : 45", ""
"23,122", "19", "8%", "58 : 42", ""
"6,898", "7.1", "20%", "-", ""
"6,300", "11.3", "15%", "44 : 56", ""
"47,849", "17.5", "9%", "51 : 49", ""
"37,340", "29.4", "9%", "50 : 50", ""
"28,576", "27.8", "11%", "55 : 45", ""
"16,589", "23", "4%", "45 : 55", ""
"13,908", "18.1", "7%", "46 : 54", ""
"19,101", "16.8", "15%", "62 : 38", ""
"19,693", "25.3", "6%", "54 : 46", ""
"12,470", "15.2", "3%", "54 : 46", ""
"16,606", "32.8", "43%", "59 : 41", ""
"33,866", "22.2", "11%", "56 : 44", ""
"83,653", "64.2", "1%", "", ""
"21,234", "14.4", "11%", "36 : 64", ""
"12,646", "16.6", "5%", "27 : 73", ""
"7,801", "7.3", "7%", "29 : 71", ""
"7,446", "17.4", "11%", "34 : 66", ""
"4,358", "8.5", "22%", "59 : 41", ""
"15,035", "18.8", "7%", "54 : 46", ""
"27,304", "20.3", "22%", "56 : 44", ""
"7,131", "7.1", "13%", "52 : 48", ""
"76,683", "35.9", "9%", "61 : 39", ""
"14,238", "18.5", "25%", "57 : 43", ""
"42,215", "34.3", "20%", "59 : 41", ""
"47,247", "18", "4%", "52 : 48", ""
"22,893", "11.7", "28%", "12 : 88", ""
"25,075", "15.3", "7%", "", ""
"32,720", "18.8", "9%", "54 : 46", ""
"20,161", "19.1", "23%", "45 : 55", ""
"27,046", "24.7", "9%", "61 : 39", ""
"24,954", "12.7", "6%", "", ""
"29,501", "18.1", "25%", "47 : 53", ""
"33,504", "26.5", "6%", "52 : 48", ""
"36,353", "61.2", "5%", "59 : 41", ""
"12,533", "12.8", "9%", "61 : 39", ""
"20,836", "5.2", "7%", "60 : 40", ""
"19,959", "58.4", "1%", "64 : 36", ""
"27,420", "31.7", "5%", "57 : 43", ""
"19,028", "16.3", "14%", "57 : 43", ""
"6,848", "10.8", "34%", "32 : 68", ""
"27,095", "15.3", "3%", "48 : 52", ""
"21,849", "23", "8%", "53 : 47", ""
"15,705", "20.2", "20%", "50 : 50", ""
"51,351", "16.6", "8%", "51 : 49", ""
"2,872", "3.3", "7%", "51 : 49", ""
"9,303", "9.9", "4%", "35 : 65", ""
"15,930", "12.6", "16%", "38 : 62", ""
"10,398", "12.2", "10%", "60 : 40", ""
"25,250", "19.7", "7%", "65 : 35", ""
"10,159", "17", "25%", "57 : 43", ""
"30,704", "32.2", "9%", "56 : 44", ""
"46,227", "14.4", "7%", "", ""
"32,921", "12.3", "5%", "52 : 48", ""
"7,695", "8.9", "25%", "51 : 49", ""
"22,819", "21.2", "5%", "50 : 50", ""
"13,167", "57.5", "6%", "47 : 53", ""
"18,981", "18.1", "38%", "58 : 42", ""
"16,695", "12.6", "2%", "49 : 51", ""
"3,237", "13.2", "33%", "52 : 48", ""
"19,267", "38.3", "7%", "66 : 34", ""
"30,638", "51", "1%", "62 : 38", ""
"25,036", "29.8", "18%", "47 : 53", ""
"55,859", "49.7", "1%", "61 : 39", ""
"30,304", "18.9", "10%", "", ""
"29,207", "14.2", "3%", "47 : 53", ""
"19,342", "12", "1%", "57 : 43", ""
"7,983", "15.4", "8%", "53 : 47", ""
"86,519", "17.5", "13%", "62 : 38", ""
"31,017", "30.3", "27%", "50 : 50", ""
"7,086", "8.3", "2%", "57 : 43", ""
"29,623", "14", "11%", "63 : 37", ""
"27,140", "15.5", "5%", "", ""
"27,491", "16.1", "16%", "61 : 39", ""
"53,476", "16", "6%", "56 : 44", ""
"31,658", "10.8", "7%", "29 : 71", ""
"19,665", "19.4", "27%", "54 : 46", ""
"14,686", "8.2", "5%", "36 : 64", ""
"15,141", "18.7", "20%", "52 : 48", ""
"9,928", "17.5", "0%", "15 : 85", ""
"8,061", "18.7", "1%", "17 : 83", ""
"20,825", "36.3", "4%", "58 : 42", ""
"10,311", "23.9", "0%", "24 : 76", ""
"34,550", "16", "5%", "34 : 66", ""
"10,697", "16.1", "0%", "30 : 70", ""
"21,379", "15.1", "10%", "50 : 50", ""
"831", "7.6", "26%", "47 : 53", ""
"40,666", "13.4", "7%", "", ""
"30,572", "24.9", "6%", "58 : 42", ""
"3,486", "23.9", "19%", "31 : 69", ""
"12,212", "19.8", "13%", "46 : 54", ""
"18,513", "19.8", "13%", "52 : 48", ""
"28,116", "20.1", "6%", "52 : 48", ""
"27,402", "7.5", "3%", "63 : 37", ""
"14,531", "17.3", "4%", "", ""
"15,464", "14.6", "10%", "59 : 41", ""
"17,753", "24.7", "44%", "59 : 41", ""
"19,090", "18.8", "9%", "52 : 48", ""
"7,647", "15.5", "12%", "23 : 77", ""
"12,331", "17.8", "4%", "46 : 54", ""
"14,353", "20.5", "12%", "40 : 60", ""
"63,052", "32.3", "9%", "61 : 39", ""
"137,378", "11.6", "5%", "51 : 49", ""
"6,137", "8.2", "31%", "31 : 69", ""
"11,072", "13", "19%", "57 : 43", ""
"4,496", "5.4", "2%", "48 : 52", ""
"2,857", "2.6", "8%", "67 : 33", ""
"10,646", "26.2", "17%", "25 : 75", ""
"18,867", "17.9", "7%", "49 : 51", ""
"21,270", "21.4", "7%", "49 : 51", ""
"14,104", "13.1", "13%", "42 : 58", ""
"43,875", "22.4", "1%", "60 : 40", ""
"26,937", "29.1", "7%", "56 : 44", ""
"33,172", "13.6", "7%", "36 : 64", ""
"24,929", "19.7", "12%", "51 : 49", ""
"9,583", "19", "42%", "74 : 26", ""
"11,550", "22.8", "12%", "61 : 39", ""
"22,186", "13.9", "12%", "50 : 50", ""
"11,704", "15.5", "3%", "43 : 57", ""
"12,920", "10.9", "25%", "64 : 36", ""
"10,977", "18.7", "0%", "27 : 73", ""
"13,438", "5.4", "5%", "54 : 46", ""
"18,846", "23.6", "5%", "59 : 41", ""
"10,625", "24.1", "7%", "43 : 57", ""
"36,465", "12.9", "2%", "78 : 22", ""
"9,026", "32.8", "15%", "66 : 34", ""
"15,387", "18.5", "8%", "51 : 49", ""
"6,147", "15.5", "13%", "23 : 77", ""
"29,396", "10.5", "10%", "60 : 40", ""
"15,773", "16.9", "2%", "44 : 56", ""
"46,373", "15.3", "5%", "53 : 47", ""
"6,805", "30.5", "14%", "65 : 35", ""
"29,693", "12.2", "1%", "", ""
"19,465", "17.5", "9%", "50 : 50", ""
"11,902", "6.9", "17%", "39 : 61", ""
"10,413", "9.9", "12%", "60 : 40", ""
"37,394", "13.5", "10%", "38 : 62", ""
"4,597", "12.5", "25%", "43 : 57", ""
"14,037", "13.3", "3%", "", ""
"19,622", "15.8", "15%", "55 : 45", ""
"9,221", "12.5", "26%", "76 : 24", ""
"13,435", "37.4", "7%", "61 : 39", ""
"58,413", "15.4", "9%", "60 : 40", ""
"49,292", "14.1", "7%", "67 : 33", ""
"34,572", "14.5", "3%", "34 : 66", ""
"22,542", "18.4", "5%", "52 : 48", ""
"29,863", "12.3", "4%", "34 : 66", ""
"31,046", "11.8", "5%", "55 : 45", ""
"17,062", "13", "2%", "52 : 48", ""
"35,569", "17", "1%", "-", ""
"12,706", "11.3", "2%", "33 : 67", ""
"30,812", "25.1", "18%", "53 : 47", ""
"1,079", "11", "35%", "", ""
"11,197", "10.5", "2%", "17 : 83", ""
"5,226", "14.1", "82%", "48 : 52", ""
"5,970", "13.9", "8%", "53 : 47", ""
"14,080", "25.6", "1%", "34 : 66", ""
"38,872", "23", "1%", "50 : 50", ""
"12,119", "26.3", "3%", "53 : 47", ""
"22,386", "17.6", "4%", "51 : 49", ""
"13,794", "17.8", "1%", "47 : 53", ""
"37,915", "23.5", "2%", "67 : 33", ""
"18,808", "4", "4%", "23 : 77", ""
"15,054", "23.9", "33%", "58 : 42", ""
"25,983", "12.6", "3%", "35 : 65", ""
"11,837", "19.5", "0%", "22 : 78", ""
"14,907", "25.9", "18%", "53 : 47", ""
"11,065", "20.5", "32%", "53 : 47", ""
"16,924", "19.5", "19%", "58 : 42", ""
"23,694", "21.3", "15%", "27 : 73", ""
"22,447", "22.1", "4%", "32 : 68", ""
"18,511", "32.5", "0%", "", ""
"11,506", "7.1", "3%", "70 : 30", ""
"15,730", "11.4", "9%", "43 : 57", ""
"26,381", "14.3", "3%", "56 : 44", ""
