RANK,UNIV,COUNTRY,Students,SSRatio,IntlStudent,FMRatio,LINK
65,Delft University of Technology,Netherlands,15920,19.4,25%,26 : 74,https://www.timeshighereducation.com/world-university-rankings/delft-university-of-technology?ranking-dataset=133819 
65,University of Minnesota,United States of America,46825,18,13%,52 : 48,https://www.timeshighereducation.com/world-university-rankings/university-of-minnesota?ranking-dataset=133819 
67,Leiden University,Netherlands,21222,17.1,10%,59 : 41,https://www.timeshighereducation.com/world-university-rankings/leiden-university?ranking-dataset=133819 
68,University of Southern California,United States of America,36534,12.9,20%,52 : 48,https://www.timeshighereducation.com/world-university-rankings/university-of-southern-california?ranking-dataset=133819 
69,University of Bristol,United Kingdom,17906,14,25%,53 : 47,https://www.timeshighereducation.com/world-university-rankings/university-of-bristol?ranking-dataset=133819 
70,Durham University,United Kingdom,15489,15.7,24%,54 : 46,https://www.timeshighereducation.com/world-university-rankings/durham-university?ranking-dataset=133819 
71,Erasmus University Rotterdam,Netherlands,26212,18.9,21%,48 : 52,https://www.timeshighereducation.com/world-university-rankings/erasmus-university-rotterdam?ranking-dataset=133819 
72,Free University of Berlin,Germany,33062,39.3,20%,58 : 42,https://www.timeshighereducation.com/world-university-rankings/freie-universitat-berlin?ranking-dataset=133819 
73,Monash University,Australia,50882,40.5,36%,56 : 44,https://www.timeshighereducation.com/world-university-rankings/monash-university?ranking-dataset=133819 
74,University of Groningen,Netherlands,30000,25.6,15%,52 : 48,https://www.timeshighereducation.com/world-university-rankings/university-of-groningen?ranking-dataset=133819 
75,Pennsylvania State University,United States of America,44501,12.4,12%,46 : 54,https://www.timeshighereducation.com/world-university-rankings/pennsylvania-state-university?ranking-dataset=133819 
76,University of Glasgow,United Kingdom,22616,16,29%,57 : 43,https://www.timeshighereducation.com/world-university-rankings/university-of-glasgow?ranking-dataset=133819 
76,University of Helsinki,Finland,23505,15.1,6%,66 : 34,https://www.timeshighereducation.com/world-university-rankings/university-of-helsinki?ranking-dataset=133819 
78,University of Tübingen,Germany,28327,38.9,12%,58 : 42,https://www.timeshighereducation.com/world-university-rankings/eberhard-karls-universitat-tubingen?ranking-dataset=133819 
79,University of Pittsburgh,United States of America,26485,5.8,10%,51 : 49,https://www.timeshighereducation.com/world-university-rankings/university-of-pittsburgh?ranking-dataset=133819 
80,University of Warwick,United Kingdom,18529,16.6,37%,48 : 52,https://www.timeshighereducation.com/world-university-rankings/university-of-warwick?ranking-dataset=133819 
81,Uppsala University,Sweden,25266,18.2,12%,57 : 43,https://www.timeshighereducation.com/world-university-rankings/uppsala-university?ranking-dataset=133819 
82,University of Copenhagen,Denmark,27545,4.1,19%,67 : 33,https://www.timeshighereducation.com/world-university-rankings/university-of-copenhagen?ranking-dataset=133819 
82,University of New South Wales,Australia,39479,25.9,27%,47 : 53,https://www.timeshighereducation.com/world-university-rankings/university-of-new-south-wales?ranking-dataset=133819 
84,University of Freiburg,Germany,26467,31.2,16%,52 : 48,https://www.timeshighereducation.com/world-university-rankings/albert-ludwigs-universitat-freiburg?ranking-dataset=133819 
85,Seoul National University,South Korea,26389,13.9,10%,,https://www.timeshighereducation.com/world-university-rankings/seoul-national-university?ranking-dataset=133819 
86,University of St Andrews,United Kingdom,8338,12.7,47%,56 : 44,https://www.timeshighereducation.com/world-university-rankings/university-of-st-andrews?ranking-dataset=133819 
87,Vanderbilt University,United States of America,12161,3.6,10%,52 : 48,https://www.timeshighereducation.com/world-university-rankings/vanderbilt-university?ranking-dataset=133819 
88,Kyoto University,Japan,22809,5.6,7%,,https://www.timeshighereducation.com/world-university-rankings/kyoto-university?ranking-dataset=133819 
88,Maastricht University,Netherlands,15626,18.9,48%,56 : 44,https://www.timeshighereducation.com/world-university-rankings/maastricht-university?ranking-dataset=133819 
90,Emory University,United States of America,12338,4.5,18%,56 : 44,https://www.timeshighereducation.com/world-university-rankings/emory-university?ranking-dataset=133819 
90,Lund University,Sweden,28251,11.5,15%,,https://www.timeshighereducation.com/world-university-rankings/lund-university?ranking-dataset=133819 
90,Ohio State University,United States of America,51462,13.4,12%,49 : 51,https://www.timeshighereducation.com/world-university-rankings/ohio-state-university?ranking-dataset=133819 
93,University of Exeter,United Kingdom,17755,18.8,28%,54 : 46,https://www.timeshighereducation.com/world-university-rankings/university-of-exeter?ranking-dataset=133819 
94,University of Bonn,Germany,32474,70.4,13%,55 : 45,https://www.timeshighereducation.com/world-university-rankings/universitat-bonn?ranking-dataset=133819 
94,Georgetown University,United States of America,15408,8.5,14%,53 : 47,https://www.timeshighereducation.com/world-university-rankings/georgetown-university?ranking-dataset=133819 
94,McMaster University,Canada,23823,19.3,15%,53 : 47,https://www.timeshighereducation.com/world-university-rankings/mcmaster-university?ranking-dataset=133819 
97,University of Sheffield,United Kingdom,23311,15.5,31%,50 : 50,https://www.timeshighereducation.com/world-university-rankings/university-of-sheffield?ranking-dataset=133819 
98,Queen Mary University of London,United Kingdom,14260,14,40%,52 : 48,https://www.timeshighereducation.com/world-university-rankings/queen-mary-university-of-london?ranking-dataset=133819 
99,University of Göttingen,Germany,25581,25.6,12%,51 : 49,https://www.timeshighereducation.com/world-university-rankings/georg-august-universitat-gottingen?ranking-dataset=133819 
99,Michigan State University,United States of America,44750,15.7,15%,51 : 49,https://www.timeshighereducation.com/world-university-rankings/michigan-state-university?ranking-dataset=133819 
104,Dartmouth College,United States of America,6178,6.6,16%,47 : 53,https://www.timeshighereducation.com/world-university-rankings/dartmouth-college?ranking-dataset=133819
